iter	Passed	Remaining
0	132	132244
1	133	66776
2	135	44922
3	136	33987
4	138	27593
5	140	23232
6	141	20123
7	143	17795
8	145	15977
9	146	14529
10	148	13307
11	149	12297
12	150	11436
13	152	10771
14	154	10130
15	155	9572
16	156	9073
17	158	8629
18	159	8231
19	160	7873
20	161	7550
21	163	7254
22	164	6985
23	166	6785
24	168	6556
25	169	6344
26	170	6147
27	171	5962
28	173	5795
29	174	5638
30	175	5488
31	176	5347
32	178	5217
33	179	5093
34	181	5007
35	182	4897
36	184	4792
37	185	4694
38	186	4600
39	187	4509
40	189	4423
41	190	4341
42	191	4267
43	192	4192
44	194	4120
45	196	4074
46	198	4014
47	199	3955
48	200	3900
49	202	3845
50	203	3793
51	205	3745
52	206	3692
53	207	3642
54	210	3614
55	211	3567
56	212	3521
57	214	3476
58	215	3434
59	216	3393
60	218	3356
61	219	3317
62	220	3280
63	221	3243
64	222	3207
65	225	3186
66	226	3153
67	227	3120
68	228	3088
69	230	3057
70	231	3026
71	232	2998
72	233	2969
73	235	2941
74	236	2914
75	237	2887
76	239	2872
77	240	2847
78	242	2822
79	243	2798
80	244	2774
81	245	2751
82	246	2723
83	247	2701
84	248	2679
85	250	2658
86	251	2636
87	252	2616
88	254	2607
89	255	2588
90	257	2569
91	258	2551
92	259	2534
93	261	2515
94	262	2498
95	263	2481
96	264	2464
97	265	2447
98	267	2430
99	268	2414
100	270	2405
101	271	2391
102	272	2375
103	274	2360
104	275	2346
105	276	2332
106	277	2317
107	278	2303
108	280	2289
109	281	2276
110	282	2263
111	284	2259
112	286	2246
113	287	2233
114	288	2221
115	290	2210
116	291	2197
117	292	2185
118	293	2173
119	294	2161
120	295	2149
121	296	2136
122	298	2125
123	300	2121
124	301	2112
125	303	2103
126	304	2091
127	305	2084
128	307	2074
129	308	2064
130	309	2053
131	310	2044
132	312	2034
133	313	2026
134	315	2020
135	316	2010
136	317	2001
137	318	1992
138	320	1982
139	321	1974
140	322	1965
141	323	1954
142	324	1946
143	326	1938
144	327	1929
145	329	1927
146	330	1919
147	332	1912
148	333	1904
149	334	1897
150	335	1889
151	337	1881
152	338	1873
153	339	1865
154	340	1858
155	342	1851
156	344	1849
157	345	1842
158	346	1835
159	348	1828
160	349	1818
161	350	1813
162	351	1806
163	352	1799
164	354	1792
165	355	1785
166	356	1778
167	357	1771
168	359	1769
169	361	1763
170	362	1757
171	363	1751
172	365	1745
173	366	1739
174	367	1733
175	368	1726
176	370	1720
177	371	1714
178	372	1708
179	374	1705
180	375	1700
181	377	1695
182	378	1690
183	380	1685
184	381	1679
185	382	1675
186	384	1670
187	385	1666
188	387	1662
189	390	1665
190	392	1661
191	393	1657
192	395	1652
193	396	1648
194	397	1642
195	399	1638
196	400	1633
197	401	1627
198	404	1629
199	406	1625
200	408	1621
201	409	1618
202	411	1614
203	412	1610
204	414	1605
205	415	1601
206	416	1596
207	419	1597
208	420	1592
209	422	1588
210	423	1583
211	424	1579
212	426	1574
213	427	1571
214	429	1568
215	431	1564
216	432	1560
217	435	1561
218	436	1558
219	438	1554
220	439	1550
221	441	1546
222	442	1542
223	444	1538
224	445	1534
225	446	1529
226	448	1525
